product_id,category,name,price,article,description,image_path,url,color,sizes,last_update
product_id,category,name,price,article,description,image_path,url,color,sizes,last_update
314108831604,Men Shoes,Nike Zoom Freak 6,£ 124.99,314108831604,,data/images/footlocker/products/314108831604,https://www.footlocker.co.uk/en/product/nike-zoom-freak-6-menshoes/314108831604.html,White-Black-Wolf Grey,,2025-05-14 01:56:00
314108829004,Men Shoes,Nike Zoom Freak 6,£ 124.99,314108829004,,data/images/footlocker/products/314108829004,https://www.footlocker.co.uk/en/product/nike-zoom-freak-6-menshoes/314108829004.html,Lt Wild Mango-Action Green-Bla,,2025-05-14 01:56:00
314108830804,Men Shoes,Nike Zoom Freak 6,£ 124.99,314108830804,,data/images/footlocker/products/314108830804,https://www.footlocker.co.uk/en/product/nike-zoom-freak-6-menshoes/314108830804.html,Ashen Slate-Laser Orange-Armor,,2025-05-14 01:56:00
314108832404,Men Shoes,Nike Zoom Freak 6,£ 124.99,314108832404,,data/images/footlocker/products/314108832404,https://www.footlocker.co.uk/en/product/nike-zoom-freak-6-menshoes/314108832404.html,Black-Baltic Blue-Blue Tint,,2025-05-14 01:56:00
314108953804,Men Shoes,Nike Zoom Freak 6,£ 95.00,314108953804,,data/images/footlocker/products/314108953804,https://www.footlocker.co.uk/en/product/nike-zoom-freak-6-menshoes/314108953804.html,Bold Berry-Green Strike-Hyper,,2025-05-14 01:56:00
314107107204,Men Shoes,Jordan AJ1 Zoom Air Comfort 2,£ 90.00,314107107204,,data/images/footlocker/products/314107107204,https://www.footlocker.co.uk/en/product/jordan-aj1-zoom-air-comfort-2-menshoes/314107107204.html,Summit White-Bicoastal,,2025-05-14 01:56:00
314108587404,Men Shoes,Jordan AJ1 Zoom Air Comfort 2,£ 90.00,314108587404,,data/images/footlocker/products/314108587404,https://www.footlocker.co.uk/en/product/jordan-aj1-zoom-air-comfort-2-menshoes/314108587404.html,Midnight Navy-Active Pink,,2025-05-14 01:56:00
314107123904,Men Shoes,Jordan AJ1 Zoom Air Comfort 2,£ 90.00,314107123904,,data/images/footlocker/products/314107123904,https://www.footlocker.co.uk/en/product/jordan-aj1-zoom-air-comfort-2-menshoes/314107123904.html,Sail-Terra Blush-Burnt Sunrise,,2025-05-14 01:56:00
314210413804,Men Shoes,Nike Zoom Vomero 5,£ 110.00,314210413804,,data/images/footlocker/products/314210413804,https://www.footlocker.co.uk/en/product/nike-zoom-vomero-5-menshoes/314210413804.html,Cave Stone-Metallic Silver-Silver,,2025-05-14 01:56:33
314217106104,Men Shoes,Nike Zoom Vomero 5,£ 110.00,314217106104,,data/images/footlocker/products/314217106104,https://www.footlocker.co.uk/en/product/nike-zoom-vomero-5-menshoes/314217106104.html,Cool Grey-White-Wolf Grey,,2025-05-14 01:56:33
314217358804,Men Shoes,Nike Zoom Vomero 5,£ 144.99,314217358804,,data/images/footlocker/products/314217358804,https://www.footlocker.co.uk/en/product/nike-zoom-vomero-5-menshoes/314217358804.html,White-Black-Pure Platinum,,2025-05-14 01:56:33
314217307504,Men Shoes,Nike Zoom Vomero 5,£ 144.99,314217307504,,data/images/footlocker/products/314217307504,https://www.footlocker.co.uk/en/product/nike-zoom-vomero-5-menshoes/314217307504.html,Mtlc Pewter-Med Ash-Parachute Beige,,2025-05-14 01:56:33
314109149204,Men Shoes,Nike Zoom Freak 6,£ 95.00,314109149204,,data/images/footlocker/products/314109149204,https://www.footlocker.co.uk/en/product/nike-zoom-freak-6-menshoes/314109149204.html,Dusty Cactus-Obsidian-Brt Crim,,2025-05-14 01:56:00
314207230104,Men Shoes,Nike Zoom Vomero 5,£ 139.99,314207230104,,data/images/footlocker/products/314207230104,https://www.footlocker.co.uk/en/product/nike-zoom-vomero-5-menshoes/314207230104.html,Barely Volt-Pure Platinum,,2025-05-14 01:56:33
314217784504,Men Shoes,Nike Zoom Vomero 5,£ 144.99,314217784504,,data/images/footlocker/products/314217784504,https://www.footlocker.co.uk/en/product/nike-zoom-vomero-5-menshoes/314217784504.html,Metallic Silver-Flat Silver,,2025-05-14 01:56:33
314109150004,Men Shoes,Nike Zoom Freak 6,£ 95.00,314109150004,,data/images/footlocker/products/314109150004,https://www.footlocker.co.uk/en/product/nike-zoom-freak-6-menshoes/314109150004.html,Lime Blast-Metallic Silver-Hyp,,2025-05-14 01:56:00
314108954604,Men Shoes,Nike Zoom Freak 6,£ 100.00,314108954604,,data/images/footlocker/products/314108954604,https://www.footlocker.co.uk/en/product/nike-zoom-freak-6-menshoes/314108954604.html,Lightening-Hyper Pink-Universi,,2025-05-14 01:56:00
314210424504,Men Shoes,Nike Zoom Vomero Roam,£ 130.00,314210424504,,data/images/footlocker/products/314210424504,https://www.footlocker.co.uk/en/product/nike-zoom-vomero-roam-menshoes/314210424504.html,Mink Brown-Mink Brown-Med Olive,,2025-05-14 01:56:33
314217448704,Men Shoes,Nike Zoom Vomero Roam,£ 164.99,314217448704,,data/images/footlocker/products/314217448704,https://www.footlocker.co.uk/en/product/nike-zoom-vomero-roam-menshoes/314217448704.html,Racer Blue-Summit White,,2025-05-14 01:56:33
314217789404,Men Shoes,Nike Zoom Vomero Roam,£ 164.99,314217789404,,data/images/footlocker/products/314217789404,https://www.footlocker.co.uk/en/product/nike-zoom-vomero-roam-menshoes/314217789404.html,College Grey-Vast Grey,,2025-05-14 01:56:33
314217785204,Men Shoes,Nike Zoom Vomero Roam,£ 164.99,314217785204,,data/images/footlocker/products/314217785204,https://www.footlocker.co.uk/en/product/nike-zoom-vomero-roam-menshoes/314217785204.html,Pale Ivory-Light Khaki,,2025-05-14 01:56:33
315349367102,Women Shoes,Nike Dunk Low Next Nature,£ 85.00,315349367102,,data/images/footlocker/products/315349367102,https://www.footlocker.co.uk/en/product/nike-dunk-low-next-nature-womenshoes/315349367102.html,White-Lt Smoke Grey,,2025-05-14 01:55:56
315349204602,Women Shoes,Nike Dunk Low Next Nature,£ 109.99,315349204602,,data/images/footlocker/products/315349204602,https://www.footlocker.co.uk/en/product/nike-dunk-low-next-nature-womenshoes/315349204602.html,Summit White-Black Raspberry,,2025-05-14 01:55:56
315349369702,Women Shoes,Nike Dunk Low Next Nature,£ 109.99,315349369702,,data/images/footlocker/products/315349369702,https://www.footlocker.co.uk/en/product/nike-dunk-low-next-nature-womenshoes/315349369702.html,White-Univ Red-White,,2025-05-14 01:55:56
315349750802,Women Shoes,Nike Dunk Low Next Nature,£ 109.99,315349750802,,data/images/footlocker/products/315349750802,https://www.footlocker.co.uk/en/product/nike-dunk-low-next-nature-womenshoes/315349750802.html,Mink Brown-Sesame,,2025-05-14 01:55:56
315349368902,Women Shoes,Nike Dunk Low Next Nature,£ 85.00,315349368902,,data/images/footlocker/products/315349368902,https://www.footlocker.co.uk/en/product/nike-dunk-low-next-nature-womenshoes/315349368902.html,White-Elemental Pink,,2025-05-14 01:55:56
315346751902,Women Shoes,Nike Dunk Low Next Nature,£ 109.99,315346751902,,data/images/footlocker/products/315346751902,https://www.footlocker.co.uk/en/product/nike-dunk-low-next-nature-womenshoes/315346751902.html,Light Smoke Grey-Pale Ivory,,2025-05-14 01:55:56
315345195002,Women Shoes,Nike Dunk Low,£ 85.00,315345195002,,data/images/footlocker/products/315345195002,https://www.footlocker.co.uk/en/product/nike-dunk-low-womenshoes/315345195002.html,White-Black-White,,2025-05-14 01:55:56
315347888802,Women Shoes,Nike Dunk Low,£ 90.00,315347888802,,data/images/footlocker/products/315347888802,https://www.footlocker.co.uk/en/product/nike-dunk-low-womenshoes/315347888802.html,Sail-Cacao Wow-Coconut Milk,,2025-05-14 01:55:56
315349141002,Women Shoes,Nike Dunk Low,£ 85.00,315349141002,,data/images/footlocker/products/315349141002,https://www.footlocker.co.uk/en/product/nike-dunk-low-womenshoes/315349141002.html,Aster Pink-Aster Pink-Sail,,2025-05-14 01:55:56
315346758402,Women Shoes,Nike Dunk Low Next Nature,£ 85.00,315346758402,,data/images/footlocker/products/315346758402,https://www.footlocker.co.uk/en/product/nike-dunk-low-next-nature-womenshoes/315346758402.html,White-Green-White,,2025-05-14 01:55:56
