product_id,category,name,price,article,description,image_path,url,color,sizes,last_update
product_id,category,name,price,article,description,image_path,url,color,sizes,last_update
1295760001,ladies_dresses_mididresses,Draped Bandeau Dress,$ 59.99,1295760001,,data/hnm/images/1295760001,https://www2.hm.com/en_us/productpage.1295760001.html,Burgundy,L/M/S/XL/XS/XXL,2025-05-27 22:15:44
1298187001,men_shirts_casual,Regular Fit Resort shirt,$ 39.99,1298187001,,data/hnm/images/1298187001,https://www2.hm.com/en_us/productpage.1298187001.html,Beige/patterned,3XL/L/M/S/XL/XS/XXL,2025-05-27 22:18:37
1298187002,men_shirts_casual,Regular Fit Resort shirt,$ 39.99,1298187002,,data/hnm/images/1298187002,https://www2.hm.com/en_us/productpage.1298187002.html,Black/leaf-patterned,3XL/L/M/S/XL/XS/XXL,2025-05-27 22:18:37
1258657007,men_shorts_casual,Relaxed-Fit Linen-Blend Shorts,$ 34.99,1258657007,,data/hnm/images/1258657007,https://www2.hm.com/en_us/productpage.1258657007.html,Dark gray,3XL/L/M/S/XL/XS/XXL,2025-05-27 23:13:33
1265997009,men_swimwear_swimshorts,Swim Shorts,$ 17.99,1265997009,,data/hnm/images/1265997009,https://www2.hm.com/en_us/productpage.1265997009.html,Pink,3XL/L/M/S/XL/XS/XXL,2025-05-27 23:13:41
1265997010,men_swimwear_swimshorts,Swim Shorts,$ 17.99,1265997010,,data/hnm/images/1265997010,https://www2.hm.com/en_us/productpage.1265997010.html,Dark gray,3XL/L/M/S/XL/XS/XXL,2025-05-27 23:13:41
1262464003,men_blazerssuits_trousers,Regular-Fit Suit Pants,$ 49.99,1262464003,,data/hnm/images/1262464003,https://www2.hm.com/en_us/productpage.1262464003.html,Beige,30R/32R/33R/34R/36R/38R/40R/42R/44R/46R,2025-05-27 22:18:16
1159823070,men_tshirtstanks_shortsleeve,Oversized Fit T-shirt,$ 24.99,1159823070,,data/hnm/images/1159823070,https://www2.hm.com/en_us/productpage.1159823070.html,Black/Nas,3XL/L/M/S/XL/XS/XXL,2025-05-27 23:15:07
1159823074,men_tshirtstanks_shortsleeve,Oversized Fit T-shirt,$ 24.99,1159823074,,data/hnm/images/1159823074,https://www2.hm.com/en_us/productpage.1159823074.html,Black/Iron Maiden,3XL/L/M/S/XL/XS/XXL,2025-05-27 23:15:07
0279750059,ladies_beauty_nails,Press-on Nails,$ 7.99,0279750059,,data/hnm/images/0279750059,https://www2.hm.com/en_us/productpage.0279750059.html,Red,NOSIZE,2025-05-27 23:15:03
1284801001,kids_oldergirls_clothing_swimwear_bikinis,Two-Piece Swimsuit with Flounces,$ 27.99,1284801001,,data/hnm/images/1284801001,https://www2.hm.com/en_us/productpage.1284801001.html,Red/striped,12/14 (10-12Y)/16/18 (12-14Y)/20 (14Y+)/8/10 (8-10Y),2025-05-27 22:15:47
1284575001,kids_olderboys_clothing_trousers_joggerssweatpants,Poplin Joggers,$ 39.99,1284575001,,data/hnm/images/1284575001,https://www2.hm.com/en_us/productpage.1284575001.html,Blue,10 (9-10Y)/12 (10-11Y)/14 (11-12Y)/16 (12-13Y)/18 (13-14Y)/20 (14Y+)/8 (8-9Y),2025-05-27 22:18:03
1284575002,kids_olderboys_clothing_trousers_joggerssweatpants,Poplin Joggers,$ 39.99,1284575002,,data/hnm/images/1284575002,https://www2.hm.com/en_us/productpage.1284575002.html,Dark beige,10 (9-10Y)/12 (10-11Y)/14 (11-12Y)/16 (12-13Y)/18 (13-14Y)/20 (14Y+)/8 (8-9Y),2025-05-27 22:18:03
1298452001,kids_olderboys_clothing_shorts_chinoshorts,Chino Shorts,$ 17.99,1298452001,,data/hnm/images/1298452001,https://www2.hm.com/en_us/productpage.1298452001.html,Navy blue,10 (9-10Y)/12 (10-11Y)/14 (11-12Y)/16 (12-13Y)/18 (13-14Y)/20 (14Y+)/8 (8-9Y),2025-05-27 22:18:05
1298452002,kids_olderboys_clothing_shorts_chinoshorts,Chino Shorts,$ 17.99,1298452002,,data/hnm/images/1298452002,https://www2.hm.com/en_us/productpage.1298452002.html,Light beige,10 (9-10Y)/12 (10-11Y)/14 (11-12Y)/16 (12-13Y)/18 (13-14Y)/20 (14Y+)/8 (8-9Y),2025-05-27 22:18:05
1281785003,kids_oldergirls_clothing_trousers,Tie-Detail Pants,$ 24.99,1281785003,,data/hnm/images/1281785003,https://www2.hm.com/en_us/productpage.1281785003.html,Light khaki green,10 (9-10Y)/12 (10-11Y)/14 (11-12Y)/16 (12-13Y)/18 (13-14Y)/20 (14Y+)/8 (8-9Y),2025-05-27 22:15:47
1139911028,kids_olderboys_clothing_jeans_relaxed,Relaxed Tapered Fit Jeans,$ 39.99,1139911028,,data/hnm/images/1139911028,https://www2.hm.com/en_us/productpage.1139911028.html,Washed black,10 (9-10Y)/12 (10-11Y)/14 (11-12Y)/16 (12-13Y)/18 (13-14Y)/20 (14Y+)/8 (8-9Y),2025-05-27 23:15:08
1277822008,ladies_tops_shortsleeve,Cropped T-Shirt,$ 17.99,1277822008,,data/hnm/images/1277822008,https://www2.hm.com/en_us/productpage.1277822008.html,White/yellow striped,L/M/S/XL/XS/XXL/XXS,2025-05-27 22:15:49
1277822009,ladies_tops_shortsleeve,Cropped T-Shirt,$ 17.99,1277822009,,data/hnm/images/1277822009,https://www2.hm.com/en_us/productpage.1277822009.html,White/red striped,L/M/S/XL/XS/XXL/XXS,2025-05-27 22:15:49
1277822012,ladies_tops_shortsleeve,Cropped T-Shirt,$ 17.99,1277822012,,data/hnm/images/1277822012,https://www2.hm.com/en_us/productpage.1277822012.html,White/Mer & Soleil,L/M/S/XL/XS/XXL/XXS,2025-05-27 22:15:49
1289425003,ladies_dresses_shortdresses,Balloon-Sleeved Tunic Dress,$ 29.99,1289425003,,data/hnm/images/1289425003,https://www2.hm.com/en_us/productpage.1289425003.html,Black/lemons,3XL/4XL/L/M/S/XL/XS/XXL/XXS,2025-05-27 23:15:18
1289425004,ladies_dresses_shortdresses,Balloon-Sleeved Tunic Dress,$ 29.99,1289425004,,data/hnm/images/1289425004,https://www2.hm.com/en_us/productpage.1289425004.html,White/black floral,3XL/4XL/L/M/S/XL/XS/XXL/XXS,2025-05-27 23:15:18
1289425001,ladies_dresses_shortdresses,Balloon-Sleeved Tunic Dress,$ 29.99,1289425001,,data/hnm/images/1289425001,https://www2.hm.com/en_us/productpage.1289425001.html,Black,3XL/4XL/L/M/S/XL/XS/XXL/XXS,2025-05-27 23:15:18
1276105010,ladies_shorts,Cotton Shorts with Drawstring,$ 24.99,1276105010,,data/hnm/images/1276105010,https://www2.hm.com/en_us/productpage.1276105010.html,Dark brown,L/M/S/XL/XS/XXL,2025-05-27 23:13:47
1276052003,ladies_shoes_sandals_espandrillos,Twist-Detail Espadrille Sandals,$ 17.99,1276052003,,data/hnm/images/1276052003,https://www2.hm.com/en_us/productpage.1276052003.html,Dusty brown,10/11/4/5/6/7/8/9,2025-05-27 22:15:49
1290445001,ladies_tops_vests,Smocked Camisole Top,$ 17.99,1290445001,,data/hnm/images/1290445001,https://www2.hm.com/en_us/productpage.1290445001.html,White,L/M/S/XL/XS/XXL/XXS,2025-05-27 22:15:49
1290445002,ladies_tops_vests,Smocked Camisole Top,$ 17.99,1290445002,,data/hnm/images/1290445002,https://www2.hm.com/en_us/productpage.1290445002.html,Black,L/M/S/XL/XS/XXL/XXS,2025-05-27 22:15:49
1264490007,ladies_swimwear_bikinisets_tops,Padded Bikini Top,$ 19.99,1264490007,,data/hnm/images/1264490007,https://www2.hm.com/en_us/productpage.1264490007.html,Black,0/10/12/14/16/18/2/4/6/8,2025-05-27 22:15:49
1264490001,ladies_swimwear_bikinisets_tops,Padded Bikini Top,$ 19.99,1264490001,,data/hnm/images/1264490001,https://www2.hm.com/en_us/productpage.1264490001.html,Dark green,0/10/12/14/16/18/2/4/6/8,2025-05-27 22:15:49
1293237001,ladies_dresses_shortdresses,Draped Bandeau Dress,$ 34.99,1293237001,,data/hnm/images/1293237001,https://www2.hm.com/en_us/productpage.1293237001.html,Light beige,4P/L/M/M/P/S/S/P/XL/XS/XS/P/XXL/XXS/P,2025-05-27 22:15:49
1281460006,ladies_accessories_jewellery_earrings,Stud Earrings,$ 6.99,1281460006,,data/hnm/images/1281460006,https://www2.hm.com/en_us/productpage.1281460006.html,Gold-colored/blue flower,NOSIZE,2025-05-27 22:15:49
1281460005,ladies_accessories_jewellery_earrings,Stud Earrings,$ 6.99,1281460005,,data/hnm/images/1281460005,https://www2.hm.com/en_us/productpage.1281460005.html,Gold-colored/red flower,NOSIZE,2025-05-27 22:15:49
1260797001,ladies_cardigansjumpers_jumpers,Fine-Knit Top,$ 17.99,1260797001,,data/hnm/images/1260797001,https://www2.hm.com/en_us/productpage.1260797001.html,Black,3XL/4XL/L/M/S/XL/XS/XXL/XXS,2025-05-27 22:15:49
1260797002,ladies_cardigansjumpers_jumpers,Fine-Knit Top,$ 17.99,1260797002,,data/hnm/images/1260797002,https://www2.hm.com/en_us/productpage.1260797002.html,White/striped,3XL/4XL/L/M/S/XL/XS/XXL/XXS,2025-05-27 22:15:49
1260797003,ladies_cardigansjumpers_jumpers,Fine-Knit Top,$ 17.99,1260797003,,data/hnm/images/1260797003,https://www2.hm.com/en_us/productpage.1260797003.html,White,3XL/4XL/L/M/S/XL/XS/XXL/XXS,2025-05-27 22:15:49
1260797009,ladies_cardigansjumpers_jumpers,Fine-Knit Top,$ 17.99,1260797009,,data/hnm/images/1260797009,https://www2.hm.com/en_us/productpage.1260797009.html,Gray melange,3XL/4XL/L/M/S/XL/XS/XXL/XXS,2025-05-27 22:15:49
1236997002,beauty_brushestools,Silk Sleep Mask,$ 42.99,1236997002,,data/hnm/images/1236997002,https://www2.hm.com/en_us/productpage.1236997002.html,Black,NOSIZE,2025-05-27 22:15:50
1293261001,kids_olderkids_clothing_tops_tshirts_tshirt,2-Piece T-Shirt and Shorts Set,$ 47.99,1293261001,,data/hnm/images/1293261001,https://www2.hm.com/en_us/productpage.1293261001.html,Black/LA Brea,10 (9-10Y)/12 (10-11Y)/14 (11-12Y)/16 (12-13Y)/18 (13-14Y)/20 (14Y+)/8 (8-9Y),2025-05-27 22:18:06
1293261002,kids_olderkids_clothing_tops_tshirts_tshirt,2-Piece T-Shirt and Shorts Set,$ 47.99,1293261002,,data/hnm/images/1293261002,https://www2.hm.com/en_us/productpage.1293261002.html,White/Accelerate,10 (9-10Y)/12 (10-11Y)/14 (11-12Y)/16 (12-13Y)/18 (13-14Y)/20 (14Y+)/8 (8-9Y),2025-05-27 22:18:06
1304678002,kids_oldergirls_clothing_skirts,Skirt with Eyelet Embroidery,$ 19.99,1304678002,,data/hnm/images/1304678002,https://www2.hm.com/en_us/productpage.1304678002.html,Navy blue,12/14 (10-12Y)/16/18 (12-14Y)/20 (14Y+)/8/10 (8-10Y),2025-05-27 22:18:05
1268640002,kids_boys_clothing_shorts,Long Sports Cargo Shorts,$ 34.99,1268640002,,data/hnm/images/1268640002,https://www2.hm.com/en_us/productpage.1268640002.html,Green,12/14 (10-12Y)/16/18 (12-14Y)/20 (14Y+)/5T/6 (4-6Y)/6X/7 (6-8Y)/8/10 (8-10Y),2025-05-27 22:15:50
1287269001,kids_oldergirls_clothing_shorts,Linen-Blend Shorts,$ 17.99,1287269001,,data/hnm/images/1287269001,https://www2.hm.com/en_us/productpage.1287269001.html,White,10 (9-10Y)/12 (10-11Y)/14 (11-12Y)/16 (12-13Y)/18 (13-14Y)/20 (14Y+)/8 (8-9Y),2025-05-27 22:15:50
1034065171,men_tshirtstanks_printed,Loose Fit Printed T-shirt,$ 17.99,1034065171,,data/hnm/images/1034065171,https://www2.hm.com/en_us/productpage.1034065171.html,White/Small Talk,3XL/L/M/S/XL/XS/XXL,2025-05-27 23:15:03
1034065170,men_tshirtstanks_printed,Loose Fit Printed T-shirt,$ 17.99,1034065170,,data/hnm/images/1034065170,https://www2.hm.com/en_us/productpage.1034065170.html,White/Sevilla,3XL/L/M/S/XL/XS/XXL,2025-05-27 23:15:03
1261478004,men_trousers_casual,Relaxed Fit Linen-Blend Pants,$ 49.99,1261478004,,data/hnm/images/1261478004,https://www2.hm.com/en_us/productpage.1261478004.html,Dark gray,3XL/L/M/S/XL/XS/XXL,2025-05-27 23:13:41
1261478005,men_trousers_casual,Relaxed Fit Linen-Blend Pants,$ 49.99,1261478005,,data/hnm/images/1261478005,https://www2.hm.com/en_us/productpage.1261478005.html,Navy blue,3XL/L/M/S/XL/XS/XXL,2025-05-27 23:13:41
1008549039,men_jeans_regular,Straight Regular Jeans,$ 39.99,1008549039,,data/hnm/images/1008549039,https://www2.hm.com/en_us/productpage.1008549039.html,Dark gray,28/30/28/32/29/30/29/32/30/30/30/32/31/30/31/32/31/34/32/30/32/32/32/34/33/30/33/32/33/34/34/30/34/32/34/34/36/30/36/34/38/30/38/32/40/32/42/32/44/32,2025-05-27 22:18:16
1008549038,men_jeans_regular,Straight Regular Jeans,$ 39.99,1008549038,,data/hnm/images/1008549038,https://www2.hm.com/en_us/productpage.1008549038.html,Denim blue,28/30/28/32/29/30/29/32/30/30/30/32/31/30/31/32/31/34/32/30/32/32/32/34/33/30/33/32/33/34/34/30/34/32/34/34/36/30/36/34/38/30/38/32/40/32/42/32/44/32,2025-05-27 22:18:16
1213682019,ladies_shirtsblouses_shirts,Linen-blend Shirt,$ 29.99,1213682019,,data/hnm/images/1213682019,https://www2.hm.com/en_us/productpage.1213682019.html,Light yellow,L/M/S/XL/XS/XXL/XXS,2025-05-27 23:14:56
1213682023,ladies_shirtsblouses_shirts,Linen-blend Shirt,$ 29.99,1213682023,,data/hnm/images/1213682023,https://www2.hm.com/en_us/productpage.1213682023.html,Light khaki green,L/M/S/XL/XS/XXL/XXS,2025-05-27 23:14:56
